합계출산율(명),기대수명(출생시 기대여명),고령인구(65세 이상),생산연령인구 (15-64세),국민연금 수급자 수 (명),국민연금 수급자 수급금액 (단위:백만원),국민연급 가입자 수 (명),국내총생산(실질성장률) (%),인플레이션율 (%),실업률 (%),"정규직 평균 연봉(단위: 만원, 만)","비정규직 평균 연봉(단위: 만원, 만)","평균 연봉(단위: 만원, 만)","정규직 근로자 수(단위: 만원, 만)","비정규직 근로자 수(단위: 만원, 만)","전체 근로자 수(단위: 만원, 만)","기금 조성(수익총액), (단위:억원)",연금보험료 (단위:억원),운용수익 (단위:억원),국고보조금 등 (단위:억원),기금 지출총액 (단위:억원),연금급여지급 (단위:억원),관리운영비 등 (단위:억원),기금 증가분 (단위:억원),기금 운용 (단위:억원),연도별 기금 운용 수익률,보험료율 (%),소득대체율 (%),총 부양비,노년 부양비,연도별 소비자물가상승률(%),
1.48,76,"3,394,896","33,701,986","927,545","1,607,035","16,209,581",9.2,2.3,4.4,"2,160",1164,1380,,,1250,"135,861","103,776","32,055",30,"16,888","16,070",817,"118,973","615,876",5.87,9,60,39.5,10.1,2.3,
1.309,76.5,"3,570,925","33,946,787","948,164","1,569,257","16,277,826",4.7,4.1,4,"2,256",1188,1560,994,364,1358,"181,402","120,690","60,692",20,"16,667","15,693",974,"164,735","780,565",9.01,9,60,39.5,10.5,4.1,
1.178,76.8,"3,756,945","34,155,443","1,052,327","1,915,255","16,498,932",7.7,2.8,3.3,"2,340",1236,1680,1016,384,1400,"203,198","138,180","64,998",20,"20,303","19,153","1,150","182,895","963,396",7.67,9,60,39.5,11,2.8,
1.191,77.3,"3,939,864","34,367,560","1,169,441","2,328,449","17,181,779",3.1,3.5,3.6,"2,412",1236,1764,954,460,1414,"228,171","156,109","72,062",0,"24,573","23,284","1,289","203,598","1,166,945",7.03,9,60,39.4,11.5,3.5,
1.164,77.8,"4,130,303","34,521,703","1,533,059","2,914,015","17,070,217",5.2,3.6,3.7,"2,532",1320,2088,918,540,1458,"275,612","171,433","102,989","1,190","32,406","29,140","3,266","243,206","1,410,080",8.28,9,60,39.3,12,3.6,
1.085,78.2,"4,320,787","34,640,514","1,757,674","3,584,901","17,124,449",4.4,2.8,3.7,"2,640",1344,2172,948,548,1496,"269,074","185,436","82,378","1,260","39,600","35,849","3,751","229,474","1,639,486",5.63,9,60,39.1,12.5,2.8,
1.132,78.8,"4,525,814","34,932,893","1,985,502","4,360,239","17,739,939",5,2,4,"2,712",1392,2280,989,546,1535,"304,216","201,523","101,043","1,650","47,570","43,602","3,968","256,646","1,896,065",5.77,9,60,38.7,13,2.2,
1.259,79.2,"4,760,676","35,208,580","2,244,477","5,182,611","18,266,742",6,3,3,"2,868",1440,2364,1043,537,1580,"355,261","216,702","137,190","1,370","55,936","51,826","4,110","299,325","2,195,400",6.79,9,60,38.3,13.5,2.5,
1.192,79.6,"4,988,592","35,587,293","2,517,579","6,180,804","18,335,409",3,5,3,"3,000",1488,2496,1077,543,1620,"225,853","229,855","-4,191",189,"66,978","61,808","5,170","158,875","2,354,325",-0.18,9,50,37.8,14,4.7,
1.149,80,"5,176,886","35,901,685","2,770,344","7,471,934","18,623,845",1,3,4,"3,084",1524,2556,1072,575,1647,"500,843","238,582","262,462",-200,"78,719","74,719","4,000","422,124","2,776,424",10.39,9,49.5,37.3,14.4,2.8,
1.226,80.2,"5,366,109","36,208,564","2,975,336","8,635,467","19,228,875",7,3,4,"3,192",1476,2340,1104,584,1688,"554,295","252,857","301,058",380,"90,812","86,359","4,453","463,484","3,239,908",10.37,9,49,36.9,14.8,2.9,
1.244,80.6,"5,515,179","36,649,999","3,166,983","9,819,296","19,885,911",4,4,3,"3,204",1500,2400,1135,593,1728,"351,892","274,346","76,717",829,"103,118","98,189","4,930","248,774","3,488,677",2.31,9,48.5,36.3,15,4,
1.297,80.9,"5,766,729","36,855,893","3,499,522","11,550,755","20,329,060",3,2,3,"3,228",1620,2508,1166,602,1768,"551,681","301,277","249,916",488,"120,682","115,508","5,174","431,000","3,919,677",6.99,9,48,36.2,15.6,2.2,
1.187,81.4,"6,022,659","37,013,997","3,633,770","13,112,751","20,744,780",3,1,3,3102,1728,2436,1197,611,1808,"486,278","319,067","166,513",699,"136,410","131,128","5,282","349,869","4,269,545",4.19,9,47.5,36.2,16.3,1.3,
1.205,81.8,"6,277,126","37,255,840","3,748,130","13,779,943","21,125,135",3,1,4,3120,1740,2604,1233,607,1840,"571,987","340,775","230,326",886,"143,304","137,799","5,504","428,684","4,698,229",5.25,9,47,36.2,16.8,1.3,
1.239,82.1,"6,541,168","37,443,896","4,028,671","15,184,010","21,568,354",3,1,4,3128,1752,2756,1304,627,1932,"582,557","364,261","217,414",882,"157,545","151,840","5,705","425,012","5,123,241",4.57,9,46.5,36.2,17.5,0.7,
1.172,82.4,"6,757,083","37,596,157","4,362,254","17,068,159","21,832,524",3,1,4,3336,1800,2880,1330,637,1967,"636,277","390,359","245,439",479,"176,527","170,682","5,845","459,750","5,582,991",4.75,9,46,36.2,18,1,
1.052,82.7,"7,066,060","37,571,568","4,692,847","19,083,886","21,824,172",3,2,4,3444,1884,3008,1356,643,1999,"830,505","417,849","411,941",715,"197,074","190,839","6,235","633,431","6,216,422",7.26,9,45.5,36.7,18.8,1.9,
0.977,82.7,"7,366,085","37,623,919","4,769,288","20,752,686","22,313,869",3,2,4,3610,2211,3069,1342,661,2004,"385,347","443,735","-58,671",284,"213,958","207,527","6,431","171,389","6,387,811",-0.92,9,45,37.1,19.6,1.5,
0.918,83.3,"7,688,994","37,627,748","5,163,110","22,764,343","22,216,229",2,0,4,3672,2264,3120,1306,748,2054,"1,213,056","478,001","734,247",809,"234,329","227,643","6,685","978,727","7,366,538",11.31,9,44.5,37.6,20.4,0.4,
0.837,83.5,"8,151,867","37,378,502","5,588,154","25,654,071","22,107,028",-1,1,4,3708,2340,3216,1302,742,2044,"1,234,331","512,172","721,437",722,"263,593","256,541","7,052","970,738","8,337,276",9.7,9,44,38.7,21.8,0.5,
0.808,83.6,"8,569,865","37,051,333","6,070,124","29,136,791","22,347,586",5,3,4,3816,2026,3064,1292,806,2099,"1,448,761","535,402","912,144","1,214","298,751","291,368","7,383","1,149,917","9,487,194",10.77,9,43.5,39.7,23.1,2.5,
0.778,82.7,"8,981,133","36,743,472","6,642,643","34,020,076","22,497,819",3,5,3,4176,2257,3519,1356,815,2172,"-234,328","559,140","-795,518","2,049","348,208","340,201","8,007","-582,536","8,904,657",-8.22,9,43,40.6,24.4,5.1,
0.721,83.5,"9,435,816","36,571,568","6,822,178","39,040,227","22,384,787",2,4,3,4347,2348,3746,1383,812,2195,"1,852,021","583,698","1,267,153","1,170","398,732","390,402","8,329","1,453,289","10,537,946",13.59,9,42.5,41.4,25.8,3.6,
0.748,84.3,"9,938,235","36,327,585","7,372,039","43,704,825","21,984,003",2,2,3,4552,2457,3753,1368,845,2214,"2,215,951","617,392","1,597,115","1,443","445,384","437,048","8,336","1,770,567","12,128,513",15,9,42,42.5,27.4,2.3,
